Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.43     0.00        1     0.00     0.00  std::remove_reference<std::tuple<int, int>&>::type&& std::move<std::tuple<int, int>&>(std::tuple<int, int>&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.41% of 2.43 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    2.43                 main [1]
                0.51    1.77       1/1           solve() [2]
                0.00    0.16       1/1           input() [6]
                0.00    0.00       1/1           std::tuple<int&, int&> std::tie<int, int>(int&, int&) [153]
                0.00    0.00       1/1           std::tuple<int&, int&>& std::tuple<int&, int&>::operator=<int, int>(std::tuple<int, int>&&) [149]
-----------------------------------------------
                0.51    1.77       1/1           main [1]
[2]     93.6    0.51    1.77       1         solve() [2]
                0.78    0.00 245506321/245524141     std::vector<int, std::allocator<int> >::operator[](unsigned long) [3]
                0.63    0.00 245526121/245544241     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [4]
                0.35    0.00 78585300/78585300     int const& std::min<int>(int const&, int const&) [5]
                0.01    0.01    9900/9900        void std::fill<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [8]
                0.00    0.00    9900/10200       std::vector<int, std::allocator<int> >::end() [21]
                0.00    0.00    9900/10200       std::vector<int, std::allocator<int> >::begin() [22]
                0.00    0.00    8910/8910        isLess(int, int, int, int) [23]
                0.00    0.00      99/99          void std::swap<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [85]
                0.00    0.00       1/1           gcd(int, int) [125]
                0.00    0.00       1/1           std::tuple<std::__decay_and_strip<int>::__type, std::__decay_and_strip<int>::__type> std::make_tuple<int, int>(int&&, int&&) [152]
-----------------------------------------------
                0.00    0.00   17820/245524141     input() [6]
                0.78    0.00 245506321/245524141     solve() [2]
[3]     31.9    0.78    0.00 245524141         std::vector<int, std::allocator<int> >::operator[](unsigned long) [3]
-----------------------------------------------
                0.00    0.00   18120/245544241     input() [6]
                0.63    0.00 245526121/245544241     solve() [2]
[4]     25.9    0.63    0.00 245544241         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [4]
-----------------------------------------------
                0.35    0.00 78585300/78585300     solve() [2]
[5]     14.2    0.35    0.00 78585300         int const& std::min<int>(int const&, int const&) [5]
-----------------------------------------------
                0.00    0.16       1/1           main [1]
[6]      6.4    0.00    0.16       1         input() [6]
                0.15    0.00       3/3           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long) [7]
                0.01    0.00     300/300         std::vector<int, std::allocator<int> >::resize(unsigned long, int const&) [10]
                0.00    0.00   17820/245524141     std::vector<int, std::allocator<int> >::operator[](unsigned long) [3]
                0.00    0.00   18120/245544241     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [4]
-----------------------------------------------
                0.15    0.00       3/3           input() [6]
